1,2
9,79
12,82
14,84
29,99
30,100
33,103
34,104
47,117
48,118
50,120
51,121
64,134
66,136
69,139
71,141
73,104
73,110
73,119
73,138
73,142
74,29
74,78
74,89
75,79
75,90
75,127
75,131
76,82
76,100
76,107
76,132
76,134
76,135
76,141
77,73
77,112
77,126
77,129
77,136
78,30
78,105
78,130
79,90
79,99
79,113
79,131
79,140
80,76
80,93
80,114
80,132
80,134
80,137
80,141
81,77
81,83
81,98
81,104
81,110
81,129
82,80
82,84
82,93
82,111
82,128
82,134
82,137
83,64
83,73
83,77
83,98
83,112
83,136
83,142
84,50
84,76
84,80
84,93
84,107
84,128
84,134
84,137
85,96
86,116
87,12
88,14
89,105
89,120
89,130
90,99
90,127
90,131
90,133
92,123
93,76
93,107
93,111
93,114
93,128
93,132
93,137
94,108
95,125
96,115
97,103
98,73
98,77
98,119
98,126
98,129
98,138
99,75
99,113
99,121
99,127
99,133
100,80
100,82
100,84
100,93
100,111
100,114
100,132
101,109
103,9
103,86
104,77
104,83
104,98
104,110
104,112
104,119
104,142
105,74
105,120
105,130
106,92
107,47
107,80
107,100
107,111
107,114
107,134
107,135
108,124
109,95
110,83
110,98
110,126
110,129
110,142
111,76
111,80
111,84
111,128
111,132
111,135
111,137
112,81
112,98
112,119
112,126
112,129
113,33
113,34
113,75
113,133
113,140
114,76
114,82
114,84
114,111
114,134
114,137
114,141
115,85
116,97
117,87
118,88
119,77
119,81
119,83
119,126
119,129
119,136
120,74
120,78
120,139
121,79
121,90
121,113
121,133
123,106
124,94
125,101
126,71
126,73
126,81
126,83
126,104
126,138
126,142
127,79
127,113
127,121
127,133
128,76
128,80
128,100
128,107
128,114
128,132
128,135
129,83
129,104
129,126
129,136
129,138
129,142
130,74
130,120
130,139
131,99
131,113
131,121
131,140
132,82
132,84
132,107
132,114
132,135
132,137
132,141
133,66
133,75
133,79
133,131
133,140
134,93
134,100
134,111
134,128
134,132
134,135
134,141
135,80
135,82
135,84
135,93
135,100
135,114
135,141
136,73
136,81
136,104
136,110
136,126
136,138
137,69
137,76
137,100
137,107
137,128
137,135
137,141
138,81
138,83
138,104
138,110
138,112
138,119
139,78
139,89
139,105
140,75
140,90
140,99
140,127
141,48
141,51
141,82
141,84
141,93
141,107
141,111
141,128
142,81
142,98
142,112
142,119
142,136
142,138
