Depot 1,Depot 2,Patient 1,Patient 2,Patient 3,Patient 4,Patient 5,Patient 6,Patient 7,Patient 8,Patient 9,Patient 10,Dest Patient1,Dest Patient2,Dest Patient3,Dest Patient4,Dest Patient5,Dest Patient6,Dest Patient7,Dest Patient8,Dest Patient9,Dest Patient10
0,1167,1105,1161,1110,1965,1870,606,611,647,614,791,2023,610,630,1127,602,1209,1206,1966,735,633
1165,0,379,370,496,1021,952,956,929,901,916,919,964,915,959,369,938,356,464,954,862,927
1174,428,0,0,159,895,856,869,878,874,876,973,897,908,936,0,921,0,161,872,952,857
1221,402,0,0,166,892,858,919,910,854,943,1025,846,855,878,0,859,0,158,876,1036,913
1233,503,133,142,0,960,977,919,893,915,902,1032,963,943,878,141,902,136,0,930,1090,926
1951,1015,866,809,895,0,0,1590,1683,1623,1634,1689,0,1597,1713,839,1561,805,951,0,1709,1656
1891,957,861,801,893,0,0,1713,1706,1626,1597,1736,0,1562,1697,810,1660,867,924,0,1778,1568
735,977,813,868,879,1727,1720,0,0,0,0,731,1609,0,0,842,0,813,853,1738,701,0
741,1019,853,807,823,1638,1667,0,0,0,0,711,1672,0,0,825,0,838,868,1610,708,0
724,992,838,802,828,1596,1754,0,0,0,0,716,1733,0,0,825,0,843,864,1641,686,0
742,1000,812,836,853,1734,1651,0,0,0,0,738,1729,0,0,861,0,822,841,1698,722,0
867,1086,1139,1148,1101,1800,1842,605,642,605,599,0,1843,605,607,1141,642,1120,1186,1845,0,621
1914,959,836,818,958,0,0,1595,1638,1632,1639,1685,0,1602,1631,844,1688,835,934,0,1816,1561
715,948,831,835,824,1677,1664,0,0,0,0,721,1742,0,0,812,0,864,847,1594,673,0
737,967,822,819,840,1600,1754,0,0,0,0,695,1611,0,0,802,0,800,815,1752,735,0
1211,426,0,0,157,883,880,903,889,856,877,978,870,886,875,0,935,0,166,922,1050,923
686,976,793,797,797,1646,1670,0,0,0,0,702,1676,0,0,869,0,816,881,1750,673,0
1142,431,0,0,159,863,845,870,900,882,913,1025,884,900,943,0,891,0,164,875,1019,859
1217,517,145,133,0,977,945,928,912,867,943,1018,992,866,886,132,939,134,0,990,1031,906
1829,1011,807,863,889,0,0,1685,1707,1574,1645,1699,0,1571,1679,874,1672,838,881,0,1699,1608
906,1111,1140,1103,1195,1877,1761,647,641,611,608,0,1922,627,606,1110,626,1095,1156,1940,0,590
699,1024,808,862,839,1691,1737,0,0,0,0,733,1654,0,0,850,0,812,835,1643,734,0
